Week,Date_Time,Timepoint,PA1,PA2,PA3,PA4,PA5,PA6,PA7,PA8,PA9,PA10,PA11,PA12,PH1,PH2,PH3,PH4,PH5,PH6,PH7,PH8,PH9,PH10,PH11,PH12,PCOM-SOURCE
1,7/24/2023 0:01,1,25.875,26.125,26.125,26.25,26.25,26.25,26.25,26.25,26.375,26.25,26.25,26.375,25.75,25.875,25.875,25.875,25.75,26,26,25.875,25.875,26.125,25.75,25.75,26.625
1,7/24/2023 0:31,2,25.625,26,26,26.125,26.125,26.125,26.125,26.125,26.125,26.125,26.125,26.25,25.5,25.75,25.75,25.75,25.5,25.875,25.75,25.625,25.625,25.875,25.5,25.625,26.5
1,7/24/2023 1:01,3,25.75,26,26,26.125,26.125,26.125,26.125,26.125,26.125,26.125,26.125,26.25,25.5,25.75,25.75,25.625,25.5,25.875,25.75,25.625,25.625,25.875,25.5,25.625,26.5
1,7/24/2023 1:31,4,25.625,26,26,26.125,26.125,26.125,26.125,26.125,26.125,26.125,26.125,26.25,25.5,25.75,25.75,25.75,25.5,25.875,25.75,25.625,25.625,25.875,25.5,25.625,26.5
1,7/24/2023 2:01,5,25.625,26,26,26.125,26,26.125,26.125,26.125,26.125,26.125,26.125,26.25,25.5,25.75,25.75,25.625,25.5,25.875,25.75,25.625,25.625,25.875,25.5,25.625,26.5
1,7/24/2023 2:31,6,25.75,26,26.125,26.125,26.125,26.125,26.125,26.125,26.25,26.125,26.125,26.25,25.5,25.75,25.75,25.75,25.5,25.875,25.75,25.625,25.625,25.875,25.5,25.625,26.5
1,7/24/2023 3:01,7,25.75,26,26.125,26.125,26.125,26.125,26.125,26.125,26.25,26.125,26.125,26.25,25.5,25.75,25.75,25.625,25.5,25.875,25.75,25.625,25.625,25.875,25.5,25.625,26.5
1,7/24/2023 3:31,8,25.75,26,26.125,26.125,26.125,26.25,26.125,26.125,26.25,26.125,26.125,26.375,25.5,25.75,25.75,25.75,25.625,25.875,25.875,25.75,25.75,25.875,25.625,25.625,26.5
1,7/24/2023 4:01,9,25.875,26.125,26.25,26.25,26.25,26.25,26.25,26.25,26.375,26.25,26.125,26.375,25.625,25.875,25.875,25.875,25.75,26,25.875,25.75,25.75,26,25.625,25.75,26.5
1,7/24/2023 4:31,10,25.625,26,26,26.125,26.125,26.125,26.125,26.125,26.125,26.125,26.125,26.25,25.5,25.75,25.75,25.625,25.5,25.875,25.75,25.625,25.625,25.875,25.5,25.625,26.375
1,7/24/2023 5:01,11,25.625,26,26,26.125,26,26.125,26,26.125,26.125,26,26,26.25,25.375,25.625,25.625,25.625,25.5,25.75,25.75,25.5,25.5,25.75,25.375,25.5,26.375
1,7/24/2023 5:31,12,25.625,26,26,26.125,26,26.125,26.125,26.125,26.125,26,26,26.25,25.5,25.75,25.75,25.625,25.5,25.875,25.75,25.625,25.625,25.875,25.5,25.625,26.375
1,7/24/2023 6:01,13,25.625,26,26.125,26.125,26.125,26.125,26.125,26.125,26.25,26.125,26,26.25,25.5,25.75,25.75,25.75,25.625,25.875,25.75,25.625,25.625,25.875,25.5,25.625,26.375
1,7/24/2023 6:31,14,25.625,26,26,26.125,26.125,26.125,26.125,26.125,26.25,26.125,26,26.25,25.5,25.75,25.75,25.75,25.625,25.875,25.875,25.625,25.625,25.875,25.5,25.625,26.25
1,7/24/2023 7:01,15,25.75,26,26.125,26.125,26.125,26.125,26.125,26.125,26.25,26.125,26,26.375,25.5,25.75,25.75,25.75,25.625,25.875,25.875,25.625,25.625,25.875,25.5,25.625,26.25
1,7/24/2023 7:31,16,25.625,26,26,26.125,26,26.125,26.125,26.125,26.125,26,26,26.25,25.5,25.625,25.625,25.625,25.5,25.75,25.75,25.5,25.5,25.75,25.375,25.5,26.25
